Entity,Code,Day,Biweekly cases per million people
Afghanistan,AFG,2020-03-07,0.201
Afghanistan,AFG,2020-03-08,0.201
Afghanistan,AFG,2020-03-09,0.075
Afghanistan,AFG,2020-03-10,0.075
Afghanistan,AFG,2020-03-11,0.151
Afghanistan,AFG,2020-03-12,0.151
Afghanistan,AFG,2020-03-13,0.151
Afghanistan,AFG,2020-03-14,0.226
Afghanistan,AFG,2020-03-15,0.377
Afghanistan,AFG,2020-03-16,0.502
Afghanistan,AFG,2020-03-17,0.527
Afghanistan,AFG,2020-03-18,0.527
Afghanistan,AFG,2020-03-19,0.527
Afghanistan,AFG,2020-03-20,0.477
Afghanistan,AFG,2020-03-21,0.402
Afghanistan,AFG,2020-03-22,0.653
Afghanistan,AFG,2020-03-23,0.803
Afghanistan,AFG,2020-03-24,0.854
Afghanistan,AFG,2020-03-25,1.582
Afghanistan,AFG,2020-03-26,1.732
Afghanistan,AFG,2020-03-27,2.008
Afghanistan,AFG,2020-03-28,2.31
Afghanistan,AFG,2020-03-29,2.36
Afghanistan,AFG,2020-03-30,2.234
Afghanistan,AFG,2020-03-31,3.514
Afghanistan,AFG,2020-04-01,4.167
Afghanistan,AFG,2020-04-02,5.247
Afghanistan,AFG,2020-04-03,6.15
Afghanistan,AFG,2020-04-04,6.175
Afghanistan,AFG,2020-04-05,6.652
Afghanistan,AFG,2020-04-06,7.456
Afghanistan,AFG,2020-04-07,8.159
Afghanistan,AFG,2020-04-08,8.761
Afghanistan,AFG,2020-04-09,9.138
Afghanistan,AFG,2020-04-10,10.794
Afghanistan,AFG,2020-04-11,10.418
Afghanistan,AFG,2020-04-12,11.071
Afghanistan,AFG,2020-04-13,12.376
Afghanistan,AFG,2020-04-14,12.527
Afghanistan,AFG,2020-04-15,14.51
Afghanistan,AFG,2020-04-16,14.033
Afghanistan,AFG,2020-04-17,14.459
Afghanistan,AFG,2020-04-18,16.016
Afghanistan,AFG,2020-04-19,15.915
Afghanistan,AFG,2020-04-20,16.543
Afghanistan,AFG,2020-04-21,16.543
Afghanistan,AFG,2020-04-22,16.794
Afghanistan,AFG,2020-04-23,18.376
Afghanistan,AFG,2020-04-24,17.698
Afghanistan,AFG,2020-04-25,20.309
Afghanistan,AFG,2020-04-26,22.794
Afghanistan,AFG,2020-04-27,23.195
Afghanistan,AFG,2020-04-28,26.057
Afghanistan,AFG,2020-04-29,26.534
Afghanistan,AFG,2020-04-30,25.932
Afghanistan,AFG,2020-05-01,33.287
Afghanistan,AFG,2020-05-02,39.186
Afghanistan,AFG,2020-05-03,38.559
Afghanistan,AFG,2020-05-04,36.977
Afghanistan,AFG,2020-05-05,36.224
Afghanistan,AFG,2020-05-06,53.52
Afghanistan,AFG,2020-05-07,55.629
Afghanistan,AFG,2020-05-08,58.666
Afghanistan,AFG,2020-05-09,56.056
Afghanistan,AFG,2020-05-10,73.779
Afghanistan,AFG,2020-05-11,78.649
Afghanistan,AFG,2020-05-12,81.937
Afghanistan,AFG,2020-05-13,78.824
Afghanistan,AFG,2020-05-14,88.163
Afghanistan,AFG,2020-05-15,97.451
Afghanistan,AFG,2020-05-16,98.731
Afghanistan,AFG,2020-05-17,104.58
Afghanistan,AFG,2020-05-18,115.55
Afghanistan,AFG,2020-05-19,130.186
Afghanistan,AFG,2020-05-20,123.533
Afghanistan,AFG,2020-05-21,132.646
Afghanistan,AFG,2020-05-22,141.909
Afghanistan,AFG,2020-05-23,160.385
Afghanistan,AFG,2020-05-24,157.297
Afghanistan,AFG,2020-05-25,163.573
Afghanistan,AFG,2020-05-26,174.468
Afghanistan,AFG,2020-05-27,188.224
Afghanistan,AFG,2020-05-28,194.877
Afghanistan,AFG,2020-05-29,193.094
Afghanistan,AFG,2020-05-30,204.014
Afghanistan,AFG,2020-05-31,214.508
Afghanistan,AFG,2020-06-01,220.005
Afghanistan,AFG,2020-06-02,223.997
Afghanistan,AFG,2020-06-03,231.151
Afghanistan,AFG,2020-06-04,233.486
Afghanistan,AFG,2020-06-05,246.991
Afghanistan,AFG,2020-06-06,243.125
Afghanistan,AFG,2020-06-07,245.008
Afghanistan,AFG,2020-06-08,246.59
Afghanistan,AFG,2020-06-09,235.745
Afghanistan,AFG,2020-06-10,245.083
Afghanistan,AFG,2020-06-11,247.87
Afghanistan,AFG,2020-06-12,248.196
Afghanistan,AFG,2020-06-13,242.473
Afghanistan,AFG,2020-06-14,242.799
Afghanistan,AFG,2020-06-15,245.435
Afghanistan,AFG,2020-06-16,229.469
Afghanistan,AFG,2020-06-17,241.167
Afghanistan,AFG,2020-06-18,237.126
Afghanistan,AFG,2020-06-19,223.645
Afghanistan,AFG,2020-06-20,219.553
Afghanistan,AFG,2020-06-21,213.152
Afghanistan,AFG,2020-06-22,206.5
Afghanistan,AFG,2020-06-23,207.328
Afghanistan,AFG,2020-06-24,188.224
Afghanistan,AFG,2020-06-25,182.877
Afghanistan,AFG,2020-06-26,168.543
Afghanistan,AFG,2020-06-27,163.523
Afghanistan,AFG,2020-06-28,155.665
Afghanistan,AFG,2020-06-29,143.365
Afghanistan,AFG,2020-06-30,143.741
Afghanistan,AFG,2020-07-01,122.705
Afghanistan,AFG,2020-07-02,117.609
Afghanistan,AFG,2020-07-03,111.609
Afghanistan,AFG,2020-07-04,109.827
Afghanistan,AFG,2020-07-05,103.375
Afghanistan,AFG,2020-07-06,98.43
Afghanistan,AFG,2020-07-07,97.978
Afghanistan,AFG,2020-07-08,99.258
Afghanistan,AFG,2020-07-09,87.309
Afghanistan,AFG,2020-07-10,98.756
Afghanistan,AFG,2020-07-11,93.761
Afghanistan,AFG,2020-07-12,87.46
Afghanistan,AFG,2020-07-13,80.757
